sc_gid,capacity_factor,global_horizontal_irradiance,capacity_mw,area_sq_km,latitude,longitude,distance_to_transmission_km
305,0.155720755,3.59126687,122.2565827,3.82051821,47.157,-68.101,5.846594353
306,0.153213993,3.553950548,273.6901406,8.552816895,47.128,-67.947,236.9002888
307,0.154256016,3.5706954,111.5257043,3.485178259,47.1,-67.793,80.3628425
308,0.134000003,3.25399971,6.125184503,0.191412016,47.039,-123.982,7.786472451
309,0.130999982,3.192958355,5.529600165,0.172800005,47.068,-123.828,7.016718987
310,0.13805823,3.38505578,317.1389836,9.910593237,47.179,-123.211,4.280844222
311,0.138957947,3.408361435,627.13845,19.59807656,47.207,-123.056,3.627937864
312,0.137796253,3.394594193,127.7637205,3.992616266,47.234,-122.901,6.690926762
313,0.142731667,3.470511675,51.06873604,1.595898001,47.289,-122.591,3.812036682
314,0.145000011,3.522000551,6.572735706,0.205397991,47.316,-122.436,1.66205953
315,0.134845823,3.299078703,19.45065696,0.60783303,47.343,-122.28,0.809793588
316,0.131842718,3.247666597,374.126407,11.69145022,47.369,-122.124,0.796331781
317,0.127397776,3.146750212,901.736107,28.17925334,47.396,-121.969,4.933432527
318,0.126133084,3.112086773,193.6281744,6.05088045,47.422,-121.813,2.215359955
319,0.128348544,3.140412331,37.69919956,1.178099986,47.448,-121.657,0.272211576
320,0.178154945,4.098305225,113.6704324,3.552201013,47.677,-120.246,2.658692231
321,0.182467669,4.151384354,1221.521513,38.17254727,47.702,-120.088,2.036419471
322,0.181864202,4.14757061,1453.973541,45.43667314,47.726,-119.931,2.256104408
323,0.180064157,4.122061253,2172.544538,67.8920168,47.751,-119.773,19.32545447
324,0.180107325,4.09823513,729.4086703,22.79402095,47.775,-119.615,10.73286872
325,0.178175151,4.070259094,1829.536369,57.17301152,47.823,-119.299,20.92158956
326,0.179159001,4.093178749,949.9705945,29.68658108,47.846,-119.141,10.84682696
327,0.178584427,4.088786125,1476.020475,46.12563984,47.87,-118.982,6.680539662
328,0.177284583,4.06161356,211.2114234,6.600356982,47.893,-118.824,1.342725307
329,0.175732404,4.034286499,13.98124666,0.436913958,47.916,-118.665,6.091893063
330,0.161479011,3.802129745,354.1711711,11.0678491,48.03,-117.87,3.416862933
